"id","Length","Invertebrates","Fish","Tetrapods","Region","PurportedSubspecies","Lineage"
56,51,0,0,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
62,51,0,0,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
79,51,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
21,50,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
44,50,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
49,47,0,0,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
73,47,1,1,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
12,45,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
57,44,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
74,44,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
75,43,0,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
63,42,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
45,41,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
58,41,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
59,40,1,0,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
36,40,0,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
38,40,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
51,40,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
64,38,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
65,37,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
50,34,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
76,32,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
78,17,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
115,117,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
343,115,0,0,1,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
118,114,0,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
366,114,0,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
114,113,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
108,111,0,0,1,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
107,111,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
322,111,0,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
49,111,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
338,110,0,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
380,108,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
350,108,0,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
381,108,0,1,1,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
351,107,0,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
360,107,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
348,107,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
304,107,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
344,107,0,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
317,107,0,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
305,106,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
117,104,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
361,102,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
342,102,0,1,1,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
313,101,0,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
111,101,0,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
113,101,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
116,100,0,1,1,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
321,99,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
100,98,0,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
52,95,1,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
121,93,0,0,1,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
336,92,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
349,91,0,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
124,91,0,0,1,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
345,90,0,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
359,90,1,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
315,88,0,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
99,88,0,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
101,88,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
327,85,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
120,84,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
379,83,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
330,81,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
378,81,1,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
112,79,1,0,1,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
316,79,1,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
96,78,1,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
362,77,1,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
314,75,0,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
339,75,0,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
377,73,1,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
341,72,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
332,71,0,0,1,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
320,70,0,0,1,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
127,70,0,1,1,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
335,68,1,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
331,66,0,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
119,66,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
312,65,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
318,65,0,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
364,65,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
346,62,1,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
106,62,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
301,60,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
347,60,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
308,59,1,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
319,57,1,1,1,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
311,56,0,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
310,55,0,1,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
328,55,1,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
126,55,1,0,1,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
374,53,1,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
309,52,0,0,1,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
373,52,1,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
125,43,1,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
303,42,0,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
365,42,1,0,1,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
329,36,1,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
110,32,1,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
102,31,1,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
103,28,1,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
98,26,1,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
97,22,0,0,0,"Apaporis River","C. c. apaporiensis","C. c.  crocodilus"
739,89,1,1,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
740,89,1,0,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
742,87,1,1,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
709,87,0,1,0,"West of West Andes","C. c. fuscus","C. c. fuscus"
696,86,1,0,1,"West of West Andes","C. c. fuscus","C. c. fuscus"
